,mean_test_score,std_test_score,params
48,0.9775529057458977,0.0006073683390485288,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 7, 'n_nodes': 25}"
49,0.8735587533327427,0.0007101984770167578,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 8, 'n_nodes': 1}"
50,0.8907189954982343,0.03442930895305919,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 8, 'n_nodes': 2}"
51,0.9536478150403294,0.03995646416079676,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 8, 'n_nodes': 5}"
52,0.976329393447078,0.0003624311222348058,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 8, 'n_nodes': 10}"
53,0.9769632403904067,0.0004897985927905478,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 8, 'n_nodes': 15}"
54,0.9772292018067266,0.0007135446206070361,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 8, 'n_nodes': 20}"
55,0.9775879011044972,0.00038905268225005205,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 8, 'n_nodes': 25}"
56,0.8735587533327427,0.0007101984770167578,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 9, 'n_nodes': 1}"
57,0.8735587533327427,0.0007101984770167578,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 9, 'n_nodes': 2}"
58,0.9539111965743311,0.03955988194844537,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 9, 'n_nodes': 5}"
59,0.9754947638200097,0.0011243282929730865,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 9, 'n_nodes': 10}"
60,0.9768350712492417,0.00020301008969880716,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 9, 'n_nodes': 15}"
61,0.9771583372752397,0.00024940882648157985,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 9, 'n_nodes': 20}"
62,0.9774890399261992,0.00035733407006499683,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 9, 'n_nodes': 25}"
63,0.8735587533327427,0.0007101984770167578,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 10, 'n_nodes': 1}"
64,0.8906367198644602,0.03477458274623927,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 10, 'n_nodes': 2}"
65,0.9526237754840532,0.03944214787435907,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 10, 'n_nodes': 5}"
66,0.9760450595139198,0.0006472218577622949,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 10, 'n_nodes': 10}"
67,0.9763731369858831,0.0008621506777851174,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 10, 'n_nodes': 15}"
68,0.9772904438883042,0.0004456181869599511,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 10, 'n_nodes': 20}"
69,0.976753270676624,0.0005499846712820035,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 10, 'n_nodes': 25}"
